Position,GC_Content
720000,46.129999999999995
725000,44.0
730000,45.769999999999996
735000,47.4
740000,46.54
745000,47.58
750000,42.94
755000,38.15
760000,40.75
765000,40.54
770000,38.22
775000,40.36
780000,42.72
785000,42.71
790000,44.01
795000,45.15
800000,45.9
805000,47.38
810000,48.19
815000,46.9
820000,46.45
825000,46.53
830000,45.989999999999995
835000,46.18
840000,46.489999999999995
845000,46.660000000000004
850000,46.17
855000,44.379999999999995
860000,44.59
865000,45.39
870000,46.7
875000,47.949999999999996
880000,48.1
885000,47.27
890000,44.75
895000,44.91
900000,45.660000000000004
905000,45.4
910000,44.86
915000,43.87
920000,44.9
925000,47.61
930000,47.79
935000,44.32
940000,42.3
945000,44.09
950000,44.269999999999996
955000,44.31
960000,44.96
965000,43.59
970000,44.16
975000,45.56
980000,45.019999999999996
985000,45.34
990000,47.69
995000,47.55
1000000,44.54
1005000,44.84
1010000,44.01
1015000,41.46
1020000,39.87
1025000,41.93
1030000,45.989999999999995
1035000,46.7
1040000,46.800000000000004
1045000,46.04
1050000,43.76
1055000,41.82
1060000,41.199999999999996
1065000,42.36
1070000,44.65
1075000,46.410000000000004
1080000,47.27
1085000,45.800000000000004
1090000,44.16
1095000,45.5
1100000,45.629999999999995
1105000,43.519999999999996
1110000,44.080000000000005
1115000,45.47
1120000,46.33
1125000,46.089999999999996
1130000,46.83
1135000,46.69
1140000,46.14
1145000,46.81
1150000,44.25
1155000,43.13
1160000,44.1
1165000,45.45
1170000,45.81
1175000,44.34
1180000,45.04
1185000,45.61
1190000,44.58
1195000,44.71
1200000,45.019999999999996
1205000,43.14
1210000,39.43
1215000,39.519999999999996
1220000,42.17
1225000,42.480000000000004
1230000,42.89
1235000,44.48
1240000,45.03
1245000,44.73
1250000,45.519999999999996
1255000,48.77
1260000,50.660000000000004
1265000,46.88
1270000,42.980000000000004
1275000,43.980000000000004
1280000,44.019999999999996
1285000,43.25
1290000,43.669999999999995
1295000,44.3
1300000,40.71
1305000,36.35
1310000,36.33
1315000,37.81
1320000,41.71
1325000,43.29
1330000,43.19
1335000,44.24
1340000,41.18
1345000,38.46
1350000,40.53
1355000,42.69
1360000,44.16
1365000,45.33
1370000,46.489999999999995
1375000,48.14
1380000,49.96
1385000,49.55
1390000,46.839999999999996
1395000,43.1
1400000,43.02
1405000,44.95
1410000,42.95
1415000,41.47
1420000,42.53
1425000,44.85
1430000,44.5
1435000,45.14
1440000,47.0
1445000,47.08
1450000,47.980000000000004
1455000,46.589999999999996
1460000,44.25
1465000,43.41
1470000,42.75
1475000,42.57
1480000,43.4
1485000,42.6
1490000,43.580000000000005
1495000,46.46
1500000,46.06
1505000,44.49
1510000,44.28
1515000,44.34
1520000,43.169999999999995
1525000,43.44
1530000,43.93
1535000,43.91
1540000,44.61
1545000,44.05
1550000,43.56
1555000,42.35
1560000,43.76
1565000,46.33
1570000,44.99
1575000,45.25
1580000,45.98
1585000,45.36
1590000,46.04
1595000,47.21
1600000,47.449999999999996
1605000,45.269999999999996
1610000,39.190000000000005
1615000,40.86
1620000,45.11
1625000,45.9
1630000,46.97
1635000,42.76
1640000,41.11
1645000,39.77
1650000,38.98
1655000,41.959999999999994
1660000,44.78
1665000,46.08
1670000,45.08
1675000,46.45
1680000,45.85
1685000,43.09
1690000,44.22
1695000,45.69
1700000,45.97
1705000,43.53
1710000,40.53
1715000,41.48
1720000,43.76
1725000,43.07
1730000,43.14
1735000,44.230000000000004
1740000,43.68
1745000,43.9
1750000,45.56
1755000,44.41
1760000,41.339999999999996
1765000,40.68
1770000,43.5
1775000,45.06
1780000,40.82
1785000,40.87
1790000,45.37
1795000,44.769999999999996
1800000,43.09
1805000,44.2
1810000,43.96
1815000,43.55
1820000,44.22
1825000,44.07
1830000,44.36
1835000,45.79
1840000,44.59
1845000,43.35
1850000,44.66
1855000,43.7
1860000,40.64
1865000,38.62
1870000,41.33
1875000,44.529999999999994
1880000,44.75
1885000,44.2
1890000,43.44
1895000,42.970000000000006
1900000,42.77
1905000,43.4
1910000,43.53
1915000,44.07
1920000,43.669999999999995
1925000,42.95
1930000,43.29
1935000,43.4
1940000,45.37
1945000,46.6
1950000,44.800000000000004
1955000,42.72
1960000,43.84
1965000,44.65
1970000,43.2
1975000,41.8
1980000,42.49
1985000,42.51
1990000,44.769999999999996
1995000,47.9
2000000,45.56
2005000,43.85
2010000,42.34
2015000,41.620000000000005
2020000,44.07
2025000,44.71
2030000,43.730000000000004
2035000,42.8
2040000,42.41
2045000,44.230000000000004
2050000,45.0
2055000,45.09
2060000,45.18
2065000,45.04
2070000,47.02
2075000,45.61
2080000,43.43
2085000,42.44
2090000,41.980000000000004
2095000,42.96
2100000,43.38
2105000,44.67
2110000,45.43
2115000,46.94
2120000,46.78
2125000,44.2
2130000,42.92
2135000,43.0
2140000,44.2
2145000,46.67
2150000,48.03
2155000,45.0
2160000,43.24
2165000,43.78
2170000,45.48
2175000,46.32
2180000,40.2
2185000,38.64
2190000,44.47
2195000,48.42
2200000,48.010000000000005
2205000,45.83
2210000,43.980000000000004
2215000,42.74
2220000,42.02
2225000,43.54
2230000,44.11
2235000,43.85
2240000,44.36
2245000,42.61
2250000,42.29
2255000,43.22
2260000,44.26
2265000,44.11
2270000,46.739999999999995
2275000,46.089999999999996
2280000,44.22
2285000,45.989999999999995
2290000,45.04
2295000,45.25
2300000,44.34
2305000,43.3
2310000,44.019999999999996
2315000,43.93
2320000,43.35
2325000,42.77
2330000,42.58
2335000,43.84
2340000,42.41
2345000,42.65
2350000,44.47
2355000,46.06
2360000,48.07
2365000,44.11
2370000,40.48
2375000,38.62
2380000,38.07
2385000,41.620000000000005
2390000,44.5
2395000,43.47
2400000,41.07
2405000,40.78
2410000,41.42
2415000,43.16
2420000,44.87
2425000,45.94
2430000,45.440000000000005
2435000,44.0
2440000,44.57
2445000,46.63
2450000,46.379999999999995
2455000,45.910000000000004
2460000,45.83
2465000,44.72
2470000,43.51
2475000,43.66
2480000,47.47
2485000,48.559999999999995
2490000,45.83
2495000,45.12
2500000,46.88
2505000,47.31
2510000,44.79
2515000,42.17
2520000,42.77
2525000,43.84
2530000,43.89
2535000,43.75
2540000,44.379999999999995
2545000,43.480000000000004
2550000,41.370000000000005
2555000,43.03
2560000,46.35
2565000,46.57
2570000,47.0
2575000,48.63
2580000,45.33
2585000,41.56
2590000,40.88
2595000,41.65
2600000,41.9
2605000,42.17
2610000,44.95
2615000,45.36
2620000,43.76
2625000,41.589999999999996
2630000,42.79
2635000,45.12
2640000,44.71
2645000,45.910000000000004
2650000,45.129999999999995
2655000,43.5
2660000,40.78
2665000,38.84
2670000,41.89
2675000,44.01
2680000,42.63
2685000,42.75
2690000,44.64
2695000,43.919999999999995
2700000,42.36
2705000,41.620000000000005
2710000,43.99
2715000,44.09
2720000,40.89
2725000,40.37
2730000,42.35
2735000,43.84
2740000,42.96
2745000,43.65
2750000,43.95
2755000,41.71
2760000,40.62
2765000,42.25
2770000,43.6
2775000,43.13
2780000,44.080000000000005
2785000,44.65
2790000,43.51
2795000,44.39
2800000,44.04
2805000,45.1
2810000,45.81
2815000,43.1
2820000,43.84
2825000,44.16
2830000,44.12
2835000,44.230000000000004
2840000,43.19
2845000,44.34
2850000,44.17
2855000,42.46
2860000,42.91
2865000,44.269999999999996
2870000,44.92
2875000,45.65
2880000,45.769999999999996
2885000,44.72
2890000,43.09
2895000,42.480000000000004
2900000,44.79
2905000,44.65
2910000,41.77
2915000,41.61
2920000,43.85
2925000,44.11
2930000,44.05
2935000,45.93
2940000,45.379999999999995
2945000,44.76
2950000,45.06
2955000,44.45
2960000,43.65
2965000,42.370000000000005
2970000,41.91
2975000,42.16
2980000,44.22
2985000,46.88
2990000,46.86
2995000,45.97
3000000,45.39
3005000,44.25
3010000,42.72
3015000,44.05
3020000,44.61
3025000,44.34
3030000,45.31
3035000,45.42
3040000,46.489999999999995
3045000,42.41
3050000,38.879999999999995
3055000,41.19
3060000,43.66
3065000,43.24
3070000,41.18
3075000,43.26
3080000,43.84
3085000,41.67
3090000,42.67
3095000,43.59
3100000,43.0
3105000,42.480000000000004
3110000,42.95
3115000,45.019999999999996
3120000,45.59
3125000,44.34
3130000,43.71
3135000,42.72
3140000,41.08
3145000,41.760000000000005
3150000,42.6
3155000,44.34
3160000,46.01
3165000,43.120000000000005
3170000,41.36
3175000,41.72
3180000,43.13
3185000,44.42
3190000,43.49
3195000,43.44
3200000,44.15
3205000,44.74
3210000,44.96
3215000,45.35
3220000,44.31
3225000,40.03
3230000,41.14
3235000,45.48
3240000,42.66
3245000,42.24
3250000,43.61
3255000,43.03
3260000,44.529999999999994
3265000,49.04
3270000,49.21
3275000,44.59
3280000,43.74
3285000,43.44
3290000,43.34
3295000,43.230000000000004
3300000,45.6
3305000,44.76
3310000,43.62
3315000,43.81
3320000,43.19
3325000,43.8
3330000,43.86
3335000,44.2
3340000,45.29
3345000,46.61
3350000,44.54
3355000,42.28
3360000,42.01
3365000,43.87
3370000,44.81
3375000,42.96
3380000,41.63
3385000,42.95
3390000,44.01
3395000,43.65
3400000,42.17
3405000,42.08
3410000,41.07
3415000,40.44
3420000,43.9
3425000,45.43
3430000,40.739999999999995
3435000,40.83
3440000,45.14
3445000,43.3
3450000,42.8
3455000,42.82
3460000,42.480000000000004
3465000,44.16
3470000,42.67
3475000,39.61
3480000,42.25
3485000,43.56
3490000,43.2
3495000,44.86
3500000,43.68
3505000,43.72
3510000,44.67
3515000,40.78
3520000,39.190000000000005
3525000,40.37
3530000,38.89
3535000,40.81
3540000,42.85
3545000,41.68
3550000,41.56
3555000,39.43
3560000,39.51
3565000,42.4
3570000,40.61
3575000,41.91
3580000,44.65
